ID,Fx_J3_on_L3,Fy_J3_on_L3,Fz_J3_on_L3,Mx_J3_on_L3,My_J3_on_L3,Mz_J3_on_L3,Point_of_Application_J3_X,Point_of_Application_J3_Y,Point_of_Application_J3_Z,Fx_J4_on_L3,Fy_J4_on_L3,Fz_J4_on_L3,Mx_J4_on_L3,My_J4_on_L3,Mz_J4_on_L3,Point_of_Application_J4_X,Point_of_Application_J4_Y,Point_of_Application_J4_Z,q,qd,qdd
MAX_Mz_J3_on_L3,-1837.265185526008,-511.83585940880135,-694.6642020661991,101.88871639971937,-352.8139536306213,-172.8347176905646,0.0,0.0,0.0,133.28126558712137,-1366.7045317220745,390.5199243567025,-40.211931118626254,113.03279404895017,549.3751444596422,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[-12.566370614359172, 12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172, 12.566370614359172]"
MIN_Mz_J3_on_L3,-1722.66496297403,-1168.8107925784761,-445.86275752933,327.96142294616584,-449.9458375597666,-461.3737555604913,0.0,0.0,0.0,218.12276320467166,-1220.3248100354156,877.3066687412149,-175.18039986050155,295.2661388645804,521.0400142151949,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, -12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172]"
MAX_Fx_J4_on_L3,-2036.1800427679873,-806.2551333199101,-390.57072682614955,244.20116800979872,-569.8864502821613,-255.42309034804816,0.0,0.0,0.0,428.6432895295772,-1352.6505966487339,684.9391982678112,-114.7098459534023,237.28180425284125,618.8638146563176,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, 12.566370614359172, 12.566370614359172, 12.566370614359172, 12.566370614359172, -12.566370614359172]"
MIN_Fx_J4_on_L3,-1496.1040903804605,-902.0375340189576,-694.6642020661991,199.4719790118817,-235.0096239126674,-387.0791875084848,0.0,0.0,0.0,-57.69057580988743,-1175.7326903250657,610.5334101816966,-108.5019589968843,182.74633961742748,431.5708147416883,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[-12.566370614359172, -12.566370614359172, -12.566370614359172, -12.566370614359172, -12.566370614359172, -12.566370614359172]"
MAX_Fy_J4_on_L3,-1468.4580750288706,-902.0375340189576,-639.3721713630187,199.47197901188167,-237.14590691710856,-387.0791875084848,0.0,0.0,0.0,-38.14189088199057,-1117.0866355413752,610.5334101816966,-108.5019589968843,182.74633961742748,411.5902854648573,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[-12.566370614359172, -12.566370614359172, -12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172]"
MIN_Fy_J4_on_L3,-2063.8260581195773,-806.2551333199101,-445.86275752933,244.20116800979872,-567.7501672777202,-255.42309034804816,0.0,0.0,0.0,409.0946046016804,-1411.2966514324244,684.9391982678112,-114.7098459534023,237.28180425284125,638.8443439331486,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, 12.566370614359172, 12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172]"
MAX_Fz_J4_on_L3,-2048.7464133823464,-1143.0338657847358,-445.8627575293299,338.9516024420668,-561.7183093828279,-415.26732456269684,0.0,0.0,0.0,398.4316855501004,-1400.633732380844,901.0807728347888,-173.53361605461902,312.4553835664808,632.8124860382562,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, 12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172]"
MIN_Fz_J4_on_L3,-1511.1837351176916,-537.6127862025415,-694.6642020661991,90.8985369038184,-241.04148180755982,-218.94114868835908,0.0,0.0,0.0,-47.02765675830738,-1186.3956093766458,366.7458202631285,-41.85871492450878,95.84354934704979,437.60267263658073,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[-12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172, 12.566370614359172]"
MAX_Mx_J4_on_L3,-1837.265185526008,-511.83585940880135,-694.6642020661991,101.88871639971937,-352.8139536306213,-172.8347176905646,0.0,0.0,0.0,133.28126558712137,-1366.7045317220745,390.5199243567025,-40.211931118626254,113.03279404895017,549.3751444596422,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[-12.566370614359172, 12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172, 12.566370614359172]"
MIN_Mx_J4_on_L3,-1722.66496297403,-1168.8107925784761,-445.86275752933,327.96142294616584,-449.9458375597666,-461.3737555604913,0.0,0.0,0.0,218.12276320467166,-1220.3248100354156,877.3066687412149,-175.18039986050155,295.2661388645804,521.0400142151949,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, -12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172]"
MAX_My_J4_on_L3,-2048.7464133823464,-1143.0338657847358,-445.8627575293299,338.9516024420668,-561.7183093828279,-415.26732456269684,0.0,0.0,0.0,398.4316855501004,-1400.633732380844,901.0807728347888,-173.53361605461902,312.4553835664808,632.8124860382562,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, 12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172]"
MIN_My_J4_on_L3,-1511.1837351176916,-537.6127862025415,-694.6642020661991,90.8985369038184,-241.04148180755982,-218.94114868835908,0.0,0.0,0.0,-47.02765675830738,-1186.3956093766458,366.7458202631285,-41.85871492450878,95.84354934704979,437.60267263658073,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[-12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172, 12.566370614359172]"
MAX_Mz_J4_on_L3,-2063.8260581195773,-806.2551333199101,-445.86275752933,244.20116800979872,-567.7501672777202,-255.42309034804816,0.0,0.0,0.0,409.0946046016804,-1411.2966514324244,684.9391982678112,-114.7098459534023,237.28180425284125,638.8443439331486,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, 12.566370614359172, 12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172]"
MIN_Mz_J4_on_L3,-1468.4580750288706,-902.0375340189576,-639.3721713630187,199.47197901188167,-237.14590691710856,-387.0791875084848,0.0,0.0,0.0,-38.14189088199057,-1117.0866355413752,610.5334101816966,-108.5019589968843,182.74633961742748,411.5902854648573,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[-12.566370614359172, -12.566370614359172, -12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172]"
MAX_F_OVERALL_MAGNITUDE,-2048.7464133823464,-1143.0338657847358,-445.8627575293299,338.9516024420668,-561.7183093828279,-415.26732456269684,0.0,0.0,0.0,398.4316855501004,-1400.633732380844,901.0807728347888,-173.53361605461902,312.4553835664808,632.8124860382562,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, 12.566370614359172, -12.566370614359172, 12.566370614359172, -12.566370614359172, -12.566370614359172]"
MAX_M_OVERALL_MAGNITUDE,-2021.1003980307562,-1143.0338657847358,-390.57072682614944,338.9516024420668,-563.854592387269,-415.26732456269684,0.0,0.0,0.0,417.98037047799727,-1341.9876775971536,901.0807728347888,-173.53361605461902,312.4553835664808,612.8319567614252,0.4,0.0,0.0,"[-3.141592653589793, -1.5707963267948966, -2.356194490192345, -3.141592653589793, -1.5707963267948966, -3.141592653589793]","[-6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586, -6.283185307179586]","[12.566370614359172, 12.566370614359172, -12.566370614359172, 12.566370614359172, 12.566370614359172, -12.566370614359172]"
